,company_name,best_match,best_score
1,acf industries,acf industries,100
17,abbott laboratories,abbott laboratories,100
36,advanced micro devices,advanced micro devices,100
37,mci,mci,100
45,air products & chemicals,air products & chemicals,100
60,alexander's,alexander's,100
71,honeywell international,honeywell international,100
75,skyworks solutions,skyworks solutions,100
80,alcoa,alcoa,100
81,alza,alza,100
88,american airlines,american airlines,100
101,american express,american express,100
107,wyeth,wyeth,100
124,trane,trane,100
126,at&t,at&t,100
132,amgen,amgen,100
139,analog devices,analog devices,100
146,andrew,andrew,100
160,apple,apple,100
161,applied materials,applied materials,100
201,avery dennison,avery dennison,100
204,avon products,avon products,100
217,baker hughes,baker hughes,100
221,ball,ball,100
248,baxter international,baxter international,100
252,becton dickinson &,becton dickinson &,100
258,bce,bce,100
272,beverly,beverly,100
276,bio-rad laboratories,bio-rad laboratories,100
279,biomet,biomet,100
285,black & decker,black & decker,100
295,boeing,boeing,100
301,hexion,hexion,100
317,bristol-myers squibb,bristol-myers squibb,100
336,unisys,unisys,100
349,cpi,cpi,100
355,cts,cts,100
366,scios,scios,100
381,nexen,nexen,100
389,cardinal health,cardinal health,100
402,caterpillar,caterpillar,100
431,cantel medical,cantel medical,100
434,checkpoint systems,checkpoint systems,100
447,chevron,chevron,100
451,chiron,chiron,100
454,church & dwight,church & dwight,100
461,milacron,milacron,100
477,clinical data,clinical data,100
492,colgate-palmolive,colgate-palmolive,100
503,comcast,comcast,100
507,cominco,cominco,100
522,ca,ca,100
565,corning,corning,100
592,cummins,cummins,100
593,curtiss-wright,curtiss-wright,100
614,datascope,datascope,100
629,deere &,deere &,100
643,detection systems,detection systems,100
673,domtar,domtar,100
710,perkinelmer,perkinelmer,100
721,eastman kodak,eastman kodak,100
725,ecolab,ecolab,100
740,ems technologies,ems technologies,100
748,emerson electric,emerson electric,100
761,engelhard,engelhard,100
769,viskase companies,viskase companies,100
771,enzo biochem,enzo biochem,100
795,fmc,fmc,100
817,federal-mogul,federal-mogul,100
833,inamed,inamed,100
876,ford motor,ford motor,100
907,genentech,genentech,100
914,general dynamics,general dynamics,100
915,general electric,general electric,100
919,general mills,general mills,100
921,general motors,general motors,100
938,georgia-pacific,georgia-pacific,100
961,goodyear tire & rubber,goodyear tire & rubber,100
967,gradco systems,gradco systems,100
1018,hasbro,hasbro,100
1041,hercules,hercules,100
1046,hp,hp,100
1054,hitachi,hitachi,100
1077,hubbell,hubbell,100
1079,huffy,huffy,100
1109,illinois tool works,illinois tool works,100
1110,immunex,immunex,100
1113,imperial industries,imperial industries,100
1115,immunomedics,immunomedics,100
1138,intel,intel,100
1156,intl business machines,intl business machines,100
1157,intl flavors & fragrances,intl flavors & fragrances,100
1162,mallinckrodt,mallinckrodt,100
1166,intl paper,intl paper,100
1168,iris international,iris international,100
1184,ionics,ionics,100
1208,johnson & johnson,johnson & johnson,100
1241,kennametal,kennametal,100
1244,kerr-mcgee,kerr-mcgee,100
1252,kimberly-clark,kimberly-clark,100
1269,kulicke & soffa industries,kulicke & soffa industries,100
1296,lee,lee,100
1325,litton industries,litton industries,100
1329,lockheed martin,lockheed martin,100
1341,lubrizol,lubrizol,100
1349,mdc,mdc,100
1361,magna international,magna international,100
1370,marathon oil,marathon oil,100
1379,masco,masco,100
1387,mattel,mattel,100
1391,maxwell technologies,maxwell technologies,100
1399,maytag,maytag,100
